id,claude-opus-5 [max]/correct,claude-opus-5 [xhigh]/correct,claude-opus-5 [high]/correct,gpt-5.6-sol [max]/correct,gpt-5.6-sol [xhigh]/correct,claude-fable-5 [xhigh]/correct,claude-fable-5 [max]/correct,gpt-5.6-terra [max]/correct,gpt-5.6-sol [high]/correct,claude-opus-5 [medium]/correct,claude-fable-5 [high]/correct,kimi-k3 [max]/correct,gpt-5.6-luna [max]/correct,gpt-5.5 [xhigh]/correct,claude-fable-5 [medium]/correct,gpt-5.5 [high]/correct,gpt-5.6-sol [medium]/correct,gpt-5.6-terra [xhigh]/correct,claude-fable-5 [low]/correct,claude-opus-4.8 [max]/correct,claude-opus-5 [low]/correct,qwen3.8-max [xhigh]/correct,gpt-5.6-luna [xhigh]/correct,muse-spark-1.2 [xhigh]/correct,claude-opus-4.8 [xhigh]/correct,gpt-5.5 [medium]/correct,claude-sonnet-5 [max]/correct,grok-4.5 [high]/correct,gpt-5.6-terra [high]/correct,deepseek-v4-flash [max]/correct,muse-spark-1.1 [xhigh]/correct,gpt-5.4 [xhigh]/correct,claude-opus-4.8 [high]/correct,claude-sonnet-5 [xhigh]/correct,claude-opus-4.8 [medium]/correct,gemini-3.6-flash [high]/correct,claude-sonnet-5 [high]/correct,gpt-5.6-sol [low]/correct,gpt-5.6-luna [high]/correct,glm-5.2 [max]/correct,claude-opus-4.8 [low]/correct,claude-sonnet-5 [medium]/correct,gemini-3.5-flash [medium]/correct,glm-5.2 [high]/correct,gpt-5.6-terra [medium]/correct,kimi-k2.7-code/correct,claude-sonnet-5 [low]/correct,claude-sonnet-4.6 [high]/correct,gpt-5.5 [low]/correct,gpt-5.6-terra [low]/correct,gemini-3.1-pro [high]/correct,gpt-5.6-luna [medium]/correct,gpt-5.6-luna [low]/correct,difficulty
abs-module-cache-flags,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.75,0.75,0.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.25,0.75,1.0,0.75,0.75,0.5,0.5,1.0,1.0,1.0,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.75,0.75,0.0,0.0,0.5,0.0,level0
abs-stepped-slices,1.0,1.0,0.75,1.0,0.75,0.5,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.75,0.25,0.75,1.0,0.0,1.0,0.0,0.0,0.75,1.0,0.25,1.0,0.25,1.0,0.25,0.75,0.75,0.5,0.0,1.0,0.75,0.0,0.5,0.0,level0
actionlint-action-pinning-lint,1.0,1.0,1.0,0.75,0.75,0.5,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.25,0.75,1.0,0.5,0.75,1.0,0.75,0.25,0.75,0.0,level0
adaptix-name-mapping-aliases,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.0,0.25,1.0,0.5,0.75,1.0,0.75,0.25,0.0,0.5,1.0,1.0,1.0,0.75,0.5,0.25,0.0,1.0,1.0,0.75,0.0,0.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,level0
aiomonitor-task-snapshots-diff,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.25,0.5,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,0.5,0.25,0.5,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
anko-default-function-arguments,0.5,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.5,0.75,1.0,0.25,0.25,1.0,0.75,0.5,0.5,0.5,0.75,1.0,0.75,0.5,1.0,0.5,0.5,0.75,0.75,0.5,0.0,0.0,0.75,0.5,0.25,0.25,0.5,0.25,0.0,0.0,level0
anko-typed-variable-bindings,0.5,0.75,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.75,0.5,1.0,1.0,1.0,0.75,1.0,0.0,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.5,0.75,0.5,1.0,0.5,0.5,0.0,1.0,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
arcane-drift-detection-baselines,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.75,0.75,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.75,0.5,0.25,1.0,0.75,0.75,0.25,0.5,0.25,0.75,0.75,1.0,1.0,0.0,0.75,0.0,0.5,0.25,0.0,0.75,0.25,0.0,0.25,0.0,level0
arktype-json-schema-refs-dependencies,0.75,0.5,0.25,0.75,0.75,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.0,0.25,0.5,0.5,0.0,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.5,1.0,0.5,0.5,0.25,1.0,0.5,0.75,0.5,0.3333,1.0,0.25,0.25,0.25,0.25,0.75,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
awilix-async-container-initialization,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.25,0.0,0.3333,0.75,0.25,1.0,1.0,0.75,0.5,0.75,0.6667,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.75,0.0,0.5,0.25,0.5,0.5,1.0,0.75,0.5,0.75,0.25,0.0,0.0,0.0,level0
